Data,kh,ka,mk,lay_real,g,fonte
2026-08-30,nommekalju,fcitallinn,Lay Home,7.4,1,validacao
2026-08-30,silkeborg,midtjylland,Lay Home,6.8,1,validacao
2026-08-30,aik,hammarby,Lay Home,6.8,1,validacao
2026-08-30,sctelstar,ajax,Lay Home,6.4,1,validacao
2026-08-30,hodd,stabaek,Lay Home,5.7,1,validacao
2026-08-30,sogndal,stromsgodset,Lay Home,5.2,1,validacao
2026-08-30,botevplovdiv,pfclevskisofia,Lay Home,6.8,1,validacao
2026-08-30,spartakvarna,ludogorets,Lay Home,7.0,1,validacao
2026-08-30,atromitos,paok,Lay Home,6.2,1,validacao
2026-08-30,banfield,riverplate,Lay Home,7.6,1,validacao
2026-08-30,asterastripolis,olympiakos,Lay Home,9.4,1,validacao
2026-08-30,naftalendava,nkmaribor,Lay Home,8.0,1,validacao
2026-08-30,samsunspor,fenerbahce,Lay Home,6.6,1,validacao
2026-08-30,cagliari,inter,Lay Home,9.6,1,validacao
2026-08-29,tokushima,oita,Lay Over 4.5,17.32,1,validacao
2026-08-29,foggia,salernitana,Lay Over 4.5,2.65,1,validacao
2026-08-29,atleticorafaela,tristansuarez,Lay Over 4.5,11.55,1,validacao
2026-08-29,ciudaddebolivar,defensoresdebelgrano,Lay Over 4.5,7.98,1,validacao
2026-08-29,monopoli,catania,Lay Over 4.5,2.92,1,validacao
2026-08-29,fcmidland,nuevachicago,Lay Over 4.5,15.75,1,validacao
2026-08-29,sercaxiasdosul,interlimeira,Lay Over 4.5,15.75,1,validacao
2026-08-29,botafogosp,cuiaba,Lay Over 4.5,18.38,1,validacao
2026-08-30,clubatleticomitre,cacentralnorte,Lay Over 4.5,18.38,1,validacao
2026-08-30,caatlanta,sanmartindesanjuan,Lay Over 4.5,18.38,1,validacao
2026-08-30,deportivomoron,casanmiguel,Lay Over 4.5,18.9,1,validacao
2026-08-30,cardecordoba,colon,Lay Over 4.5,18.38,1,validacao
2026-08-30,quilmes,catemperley,Lay Over 4.5,15.75,1,validacao
2026-08-21,chindiatargoviste,csfcdinamobucuresti,Lay Under 0.5,110.0,1,sinais
2026-08-21,mfkkarvina,zizkov,Lay Draw,6.2,1,sinais
2026-08-21,fcitallinn,transnarva,Lay Draw,11.0,1,sinais
2026-08-21,zamalek,alittihadegy,Lay Under 0.5,12.5,0,sinais
2026-08-21,sarajevo,fkbskbanjaluka,Lay Draw,6.2,1,sinais
2026-08-21,aegir,afturelding,Lay Under 0.5,110.0,1,sinais
2026-08-21,arsenal,coventry,Lay Draw,7.8,1,sinais
2026-08-21,unionbrescia,carpi,Lay Under 0.5,15.5,1,sinais
2026-08-21,unionbrescia,carpi,Lay Draw,5.5,1,sinais
2026-08-21,thestrongest,universitariodevinto,Lay Draw,6.0,1,sinais
2026-08-22,okayama,tokyov,Lay 0x1,14.0,1,sinais
2026-08-22,guangxihengchen,suzhoudongwu,Lay Under 0.5,17.0,1,sinais
2026-08-22,nacbreda,jongajaxamsterdam,Lay Draw,7.2,1,sinais
2026-08-22,athleticbilbao,sevilla,Lay 0x1,15.0,1,sinais
2026-08-22,oviedo,leganes,Lay 0x1,14.0,0,sinais
2026-08-22,ludogorets,slaviasofia,Lay Under 0.5,21.0,1,sinais
2026-08-22,ludogorets,slaviasofia,Lay Draw,5.5,0,sinais
2026-08-22,njardvik,volsungur,Lay Under 0.5,26.0,1,sinais
2026-08-22,cittadella,pergolettese,Lay Under 0.5,13.5,1,sinais
2026-08-22,sporthuancayo,cesarvallejomoquegua,Lay Draw,5.7,1,sinais
2026-08-22,inter,acmonza,Lay Draw,8.8,1,sinais
2026-08-22,ghazlelmahallah,pyramids,Lay Under 0.5,8.2,1,sinais
2026-08-22,aekathens,iraklis,Lay Draw,7.2,1,sinais
2026-08-22,tristansuarez,agropecuario,Lay 0x1,13.5,1,sinais
2026-08-22,slaviaprague,bohemians1905,Lay Draw,6.4,0,sinais
2026-08-22,stetienne,grenoble,Lay Draw,5.4,1,sinais
2026-08-22,alahli,abha,Lay Draw,7.8,1,sinais
2026-08-22,pfclevskisofia,spartakvarna,Lay Draw,6.2,1,sinais
2026-08-22,olympiakos,atromitos,Lay Draw,7.0,1,sinais
2026-08-22,fenerbahce,konyaspor,Lay Draw,6.6,1,sinais
2026-08-22,fluminense,remo,Lay Under 0.5,13.5,1,sinais
2026-08-22,univcatolicaecu,mantafc,Lay Draw,6.2,1,sinais
2026-08-22,pescara,pesaro,Lay Under 0.5,18.0,1,sinais
2026-08-22,ofkbeograd,zemun,Lay Under 0.5,18.0,1,sinais
2026-08-22,sportinglisbon,alverca,Lay Draw,8.2,1,sinais
2026-08-22,tecnicouniversitario,guayaquilcity,Lay 0x1,14.0,1,sinais
2026-08-22,intermiamicf,torontofc,Lay Draw,6.6,1,sinais
2026-08-22,indmedellin,cucutadeportivo,Lay Draw,6.8,1,sinais
2026-08-22,vancouverwhitecaps,fcdallas,Lay Draw,5.8,1,sinais
2026-08-23,shanghaiportfc,qingdaohainiu,Lay Draw,6.6,1,sinais
2026-08-23,kups,ifkmariehamn,Lay Draw,6.0,1,sinais
2026-08-23,youngboys,fcvaduz,Lay Draw,6.8,1,sinais
2026-08-23,psv,fcgroningen,Lay Draw,7.0,1,sinais
2026-08-23,clubbrugge,cerclebrugge,Lay Draw,7.0,1,sinais
2026-08-23,boracbanjaluka,celikzenica,Lay Draw,7.6,1,sinais
2026-08-23,crvenazvezda,cukaricki,Lay Draw,8.8,1,sinais
2026-08-23,zrinjski,zeljeznicar,Lay Draw,8.0,1,sinais
2026-08-23,palermo,juvestabia,Lay Under 0.5,15.5,1,sinais
2026-08-23,vikingurreykjavik,valur,Lay Draw,6.8,1,sinais
2026-08-23,porto,arouca,Lay Draw,6.6,1,sinais
2026-08-23,nacionaluru,progreso,Lay Under 0.5,18.0,1,sinais
2026-08-23,universitariodedeportes,cdloschankas,Lay Draw,6.8,1,sinais
2026-08-24,salernitana,sorrento,Lay Under 0.5,15.5,1,sinais
2026-08-24,teamaltamura,monopoli,Lay Under 0.5,8.8,1,sinais
2026-08-24,gilvicente,casapia,Lay 0x1,14.0,1,sinais
2026-08-24,libertad,sportivosanlorenzo,Lay Draw,5.4,1,sinais
2026-08-24,boyacapatriotas,atleticofccali,Lay Draw,5.4,1,sinais
2026-08-24,ferrocarriloeste,allboys,Lay 0x1,15.0,1,sinais
2026-08-25,orlandopiratessa,sekhukhuneunited,Lay Under 0.5,15.5,1,sinais
2026-08-25,orlandopiratessa,sekhukhuneunited,Lay Draw,5.4,1,sinais
2026-08-25,siwelelefc,chippautd,Lay 0x1,14.5,1,sinais
2026-08-25,afturelding,grotta,Lay Under 0.5,85.0,1,sinais
2026-08-25,afturelding,grotta,Lay Draw,9.0,1,sinais
2026-08-26,gangwon,gwangjufc,Lay Under 0.5,12.0,1,sinais
2026-08-26,stromsgodset,hodd,Lay Draw,8.2,1,sinais
2026-08-26,mamelodisundowns,amazulu,Lay Draw,6.4,1,sinais
2026-08-26,newcastle,westbrom,Lay Draw,6.0,1,sinais
2026-08-26,tottenham,charlton,Lay Draw,7.0,1,sinais
2026-08-26,realmadrid,realsociedad,Lay Draw,6.8,1,sinais
2026-08-26,aekathens,pfclevskisofia,Lay Under 0.5,13.5,1,sinais
2026-08-26,realpotosi,realtomayapo,Lay Draw,5.9,1,sinais
2026-08-26,bloomingsantacruz,cdtrealoruro,Lay Under 0.5,1000.0,1,sinais
2026-08-26,bloomingsantacruz,cdtrealoruro,Lay Draw,7.2,0,sinais
2026-08-26,riverplate,santafe,Lay Under 0.5,12.0,1,sinais
2026-08-26,riverplate,santafe,Lay Draw,5.2,0,sinais
2026-08-27,freiburg,motherwell,Lay Draw,9.2,1,sinais
2026-08-27,pyramids,aboqairsemads,Lay Under 0.5,14.5,1,sinais
2026-08-27,fccopenhagen,fcinterturku,Lay Draw,6.4,1,sinais
2026-08-27,pafosfc,dinamotirana,Lay Draw,6.2,1,sinais
2026-08-27,redbullsalzburg,mjallby,Lay Draw,7.6,1,sinais
2026-08-27,ajax,sion,Lay Draw,6.6,1,sinais
2026-08-27,brighton,tromso,Lay Draw,7.6,1,sinais
2026-08-27,anderlecht,kairatalmaty,Lay Draw,5.6,1,sinais
2026-08-27,alwaysready,aurora,Lay Draw,7.2,0,sinais
2026-08-27,fulham,afcwimbledon,Lay Draw,7.8,1,sinais
2026-08-27,barcelona,athleticbilbao,Lay Draw,7.8,1,sinais
2026-08-27,bolivar,academiadebalompieboliviano,Lay Draw,10.5,1,sinais
2026-08-28,zedfc,alahlycairo,Lay Under 0.5,11.0,1,sinais
2026-08-28,montpellier,boulogne,Lay 0x1,15.0,1,sinais
2026-08-28,alnassr,altaawounburaidah,Lay Draw,6.8,1,sinais
2026-08-28,bayernmunich,stuttgart,Lay Draw,8.4,1,sinais
2026-08-28,muglaspor,boluspor,Lay Under 0.5,13.5,1,sinais
2026-08-28,corkcity,wexfordfc,Lay Draw,6.6,1,sinais
2026-08-28,ucd,finnharps,Lay Draw,8.0,1,sinais
2026-08-28,bohemians,sligorovers,Lay Draw,6.8,1,sinais
2026-08-28,stpatricks,waterford,Lay Draw,5.7,1,sinais
2026-08-28,thenewsaints,colwynbay,Lay Draw,7.0,1,sinais
2026-08-28,fylkir,grotta,Lay Draw,6.8,1,sinais
2026-08-28,nauticope,athleticclub,Lay 0x1,19.0,1,sinais
2026-08-28,bocajuniors,lanus,Lay 0x1,14.0,1,sinais
2026-08-29,bihororadea,cslstefanestiidejos,Lay Draw,7.0,1,sinais
2026-08-29,chengdurongcheng,liaoningtierenfc,Lay Draw,6.2,1,sinais
2026-08-29,afturelding,ifvestri,Lay Draw,9.8,1,sinais
2026-08-29,partick,queenspark,Lay Draw,5.9,0,sinais
2026-08-29,celtic,falkirk,Lay Draw,7.0,1,sinais
2026-08-29,azalkmaar,goaheadeagles,Lay Draw,6.0,1,sinais
2026-08-29,galatasaray,goztepe,Lay Draw,6.4,1,sinais
2026-08-29,juventus,parma,Lay Draw,6.8,1,sinais
2026-08-29,varazdin,rudes,Lay Draw,6.8,1,sinais
2026-08-29,fcmidland,nuevachicago,Lay 0x1,15.0,1,sinais
2026-08-29,figueirense,maranhao,Lay 0x1,15.0,1,sinais
2026-08-29,realcartagena,tigresfczipaquira,Lay Draw,6.8,1,sinais
2026-08-29,alianzalima,deportivogarcilaso,Lay Draw,5.5,1,sinais
2026-08-30,guangdonggzpowerfc,changchunyatai,Lay Draw,6.0,1,sinais
2026-08-30,feyenoord,adodenhaag,Lay Draw,9.2,0,sinais
2026-08-30,bodoglimt,rosenborg,Lay Draw,6.8,1,sinais
2026-08-30,plzen,slovacko,Lay Draw,6.0,1,sinais
2026-08-30,viking,aalesunds,Lay Draw,6.8,1,sinais
2026-08-30,slovanbratislava,zemplin,Lay Draw,7.0,1,sinais
2026-08-30,manutd,ipswich,Lay Draw,5.8,1,sinais
2026-08-30,redbullsalzburg,austriawien,Lay Draw,5.9,1,sinais
2026-08-30,clubatleticomitre,cacentralnorte,Lay 0x1,14.0,1,sinais
2026-08-30,alquadisiyaksa,alfaisalyksa,Lay Draw,9.8,1,sinais
2026-08-30,deportivomoron,casanmiguel,Lay 0x1,14.0,1,sinais
2026-08-30,flamengo,botafogofr,Lay Draw,5.8,1,sinais
2026-08-30,americamg,pontepreta,Lay Draw,9.2,1,sinais
2026-08-30,carabobofc,zamorafc,Lay Draw,5.6,0,sinais
2026-08-30,toluca,fcjuarez,Lay Draw,6.6,1,sinais
2026-08-31,zorya,fckharkiv,Lay Under 0.5,13.5,1,sinais
2026-08-31,zorya,fckharkiv,Lay Home,720.0,1,sinais
2026-08-31,flinttownunited,connahsquay,Lay Home,6.0,1,sinais
2026-08-31,asyutpetroleum,nationalbank,Lay Home,7.8,1,sinais
2026-08-31,worthing,borehamwood,Lay Home,7.0,1,sinais
2026-08-31,levadiakos,panathinaikos,Lay Home,6.6,1,sinais
2026-08-31,lecce,roma,Lay Home,8.4,1,sinais
2026-08-31,omonia,omoniafcaradippou,Lay Draw,9.0,0,sinais
2026-08-31,fccopenhagen,sonderjyske,Lay Draw,6.0,1,sinais
2026-08-31,fccopenhagen,sonderjyske,Lay Away,10.5,1,sinais
2026-08-31,astonvilla,arsenal,Lay Home,7.2,1,sinais
2026-08-31,losandes,acassuso,Lay Over 4.5,18.5,1,sinais
2026-08-31,puertocabello,academiaanzoateguifc,Lay Under 0.5,18.0,1,sinais
2026-08-31,puertocabello,academiaanzoateguifc,Lay Draw,5.5,1,sinais
2026-08-31,puertocabello,academiaanzoateguifc,Lay Away,12.5,1,sinais
2026-09-01,boluspor,keciorengucu,Lay Home,7.4,1,sinais
2026-09-01,rzpelletswac,lasklinz,Lay Home,7.4,1,sinais
2026-09-01,krugerunitedfc,orlandopiratessa,Lay Under 0.5,15.5,1,sinais
2026-09-01,krugerunitedfc,orlandopiratessa,Lay Draw,5.2,1,sinais
2026-09-01,fczurich,youngboys,Lay Home,5.3,1,sinais
2026-09-01,zrinjski,fkbskbanjaluka,Lay Draw,8.8,1,sinais
