Data,h,a
2026-08-16,deportivolaguaira,zamorafc
2026-08-16,gimnasiajujuy,chacoforever
2026-08-16,tsgalaxyfc,goldenarrows
2026-08-16,santoslaguna,guadalajara
2026-08-17,internacional,remo
2026-08-17,gnistan,ilves
2026-08-17,irreykjavik,njardvik
2026-08-17,degraafschap,jongazalkmaar
2026-08-17,almeria,eldense
2026-08-17,felgueiras,avsfutebolsad
2026-08-17,fram,stjarnan
2026-08-17,cardiff,wrexham
2026-08-17,afturelding,hkkopavogur
2026-08-17,velezsarsfield,defensayjusticia
2026-08-17,jongajaxamsterdam,emmen
2026-08-17,tijuana,cruzazul
2026-08-17,arda,lokomotivsofia
2026-08-17,volsungur,ifvestri
2026-08-17,jongfcutrecht,vitessearnhem
2026-08-17,trinec,ustinadlabem
2026-08-17,necaxa,leon
2026-08-17,batmanpetrolspor,boluspor
2026-08-17,casapia,benfica
2026-08-17,estudiantesriocuarto,atltucuman
2026-08-17,palestino,huachipato
2026-08-17,guarani,ypirangars
2026-08-17,fcsb,botosani
2026-08-17,spartakvarna,septemvri
2026-08-17,deportestemuco,deportesrecoleta
2026-08-17,leiknirr,aegir
2026-08-17,throttur,fylkir
2026-08-17,macara,univcatolicaecu
2026-08-17,deportescopiapo,curicounido
2026-08-17,fknovipazar,vojvodina
2026-08-17,lanus,caindependiente
2026-08-17,ferroviaria,paysandu
2026-08-17,samsunspor,goztepe
2026-08-17,hacken,halmstads
2026-08-17,valur,kaakureyri
2026-08-17,universitateacluj,utaarad
2026-08-17,brondby,sonderjyske
2026-08-17,polissyazhytomyr,zorya
2026-08-17,allboys,nuevachicago
2026-08-17,grindavik,grotta
2026-08-17,clubdeportessantacruz,sanluis
2026-08-17,gimnasiamendoza,talleres
2026-08-17,sportinggijon,sabadell
2026-08-17,arkagdynia,puszczaniepolomice
2026-08-17,deportivo,elche
2026-08-18,deportivorecoleta,bocajuniors
2026-08-18,univcatolicachile,estudiantes
2026-08-18,pfclevskisofia,aekathens
2026-08-18,shanghaishenhua,beijingguoan
2026-08-18,independienterivadavia,fluminense
2026-08-18,drbenaceval,nacionalpar
2026-08-18,londrina,atleticogo
2026-08-18,nauticope,cearascfortaleza
2026-08-18,deportivoriestra,gimnasialaplata
2026-08-18,fenerbahce,lyon
2026-08-18,saopaulo,bolivar
2026-08-18,goias,juventude
2026-08-18,banfield,fcmidland
2026-08-18,dinamozagreb,viking
2026-08-18,tolima,independienteecu
2026-08-18,pachuca,puebla
2026-08-19,fkbackatopola,fkspartak
2026-08-19,botafogosp,criciuma
2026-08-19,minnesotautd,atlantautd
2026-08-19,metalacgornjimilanovac,fksmederevo
2026-08-19,fkgraficar,fkloznica
2026-08-19,tigresfczipaquira,envigado
2026-08-19,shanghaiportfc,dalianyingbo
2026-08-19,columbus,cfmontreal
2026-08-19,torontofc,charlottefc
2026-08-19,coquimbounido,caplatense
2026-08-19,kansascity,stlouiscitysc
2026-08-19,torque,tigre
2026-08-19,atleticomg,redbullbragantino
2026-08-19,colorado,losangelesfc
2026-08-19,newyorkredbulls,nashvillesc
2026-08-19,avai,sportrecife
2026-08-19,seattlesounders,austinfc
2026-08-19,chacarita,caguemes
2026-08-19,hapoelbeersheva,fcsabah
2026-08-19,paraguariac,sportivoluqueno
2026-08-19,portlandtimbers,sandiegofc
2026-08-19,fkboraccacak,fkproleterzrenjanin
2026-08-19,mamelodisundowns,marumogallantsfc
2026-08-19,realsaltlake,fcdallas
2026-08-19,dcutd,newenglandrevolution
2026-08-19,cucutadeportivo,internacionaldebogota
2026-08-19,santafe,riverplate
2026-08-19,aguilasdoradas,llanerosfc
2026-08-19,slovanbratislava,nkcelje
2026-08-19,lagalaxy,sanjoseearthquakes
2026-08-19,cuiaba,operariopr
2026-08-19,cerroporteno,sepalmeiras
2026-08-19,racingclub,belgrano
2026-08-19,vilanova,pontepreta
2026-08-19,orlandocity,chicagofire
2026-08-19,atleticomadrid,malaga
2026-08-19,fkjavorivanjica,fkjedinstvoub
2026-08-19,philadelphia,intermiamicf
2026-08-19,fortalezaec,saobernardo
2026-08-19,phoenixrisingfc,coloradoswitchbacksfc
2026-08-19,fkteleoptikzemun,fknapredak
2026-08-19,fkbor1919,vozdovac
2026-08-19,celtic,lasklinz
2026-08-19,fccincinnati,newyorkcity
2026-08-19,vancouverwhitecaps,houstondynamo
2026-08-19,necnijmegen,bodoglimt
2026-08-19,fkvrsac,fkdubocica
2026-08-19,boyacapatriotas,orsomarso
2026-08-19,flamengo,cruzeiromg
2026-08-20,kfdrita,interclubescaldes
2026-08-20,lugano,maccabitelaviv
2026-08-20,besiktas,fkkaunozalgiris
2026-08-20,alfeiha,alhilal
2026-08-20,gornikzabrze,monaco
2026-08-20,midtjylland,rijeka
2026-08-20,trabzonspor,ferencvaros
2026-08-20,clubatleticomorelia,correcaminosuat
2026-08-20,rayovallecano,alaves
2026-08-20,panathinaikos,hradeckralove
2026-08-20,olimpia,vascodagama
2026-08-20,sheffwed,bradford
2026-08-20,vendsysselff,hillerodfodbold
2026-08-20,egnatiarrogozhine,lillestrom
2026-08-20,rangers,fkjablonec
2026-08-20,gent,hibernian
2026-08-20,klaksvikaritrottarfelag,fkriga
2026-08-20,lechpoznan,thun
2026-08-20,benfica,agf
2026-08-20,fcinterturku,fccopenhagen
2026-08-20,shamrockrovers,kups
2026-08-20,corinthians,rosariocentral
2026-08-20,leonesfc,realsoachacundinamarcafc
2026-08-20,novorizontino,americamg
2026-08-20,cdtepatitlandemorelos,tlaxcalafc
2026-08-20,realsantander,barranquilla
2026-08-20,universitateacraiova,araratarmenia
2026-08-20,atalanta,hapoeltelaviv
2026-08-20,jagielloniabialystock,fciberia1999
2026-08-20,motherwell,freiburg
2026-08-20,kairatalmaty,anderlecht
2026-08-20,ldu,mirassol
2026-08-20,macara,santos
2026-08-20,humaitafc,club2demayodepedrojuancab
2026-08-20,dinamotirana,pafosfc
2026-08-20,tacuary,libertad
2026-08-20,mjallby,redbullsalzburg
2026-08-20,athleticclub,crb
2026-08-20,realcartagena,bogota
2026-08-20,hearts,rapidvienna
2026-08-20,fctwente,qarabagfk
2026-08-20,hajduksplit,rakowczestochowa
2026-08-20,sion,ajax
2026-08-20,crvenazvezda,plzen
2026-08-20,venadosfc,dorados
2026-08-20,tromso,brighton
2026-08-20,vikingurreykjavik,boracbanjaluka
2026-08-20,fcnordsjaelland,stgallen
2026-08-20,paok,brann
2026-08-20,getafe,partizanbelgrade
2026-08-20,sinttruiden,omonia
2026-08-20,lincolnredimps,larne
2026-08-20,botafogofr,cienciano
2026-08-20,braga,austriawien
2026-08-20,ofi,cskasofia
2026-08-21,colwynbay,airbusukbroughton
2026-08-21,boulogne,redstar
2026-08-21,vitessearnhem,almerecity
2026-08-21,deportivomadryn,clubatleticomitre
2026-08-21,ustinadlabem,duklaprague
2026-08-21,fctokyo,jefutdchiba
2026-08-21,sochaux,guingamp
2026-08-21,wadidegla,zedfc
2026-08-21,aldosivi,unionsantafe
2026-08-21,sligorovers,waterford
2026-08-21,rubionu,sportivotrinidense
2026-08-21,neuchatelxamax,stadelausanneouchy
2026-08-21,finnharps,cobhramblers
2026-08-21,aljeel,alzulfisc
2026-08-21,pau,nancy
2026-08-21,zamalek,alittihadegy
2026-08-21,olimpija,naftalendava
2026-08-21,dundalk,galwayutd
2026-08-21,albionfc,bostonriver
2026-08-21,alianzafcvalledupar,deportivopereira
2026-08-21,marseille,strasbourg
2026-08-21,vejle,esbjerg
2026-08-21,grotta,irreykjavik
2026-08-21,stadenyonnais,etoilecarouge
2026-08-21,fcsellierbellotvlasim,fkpribram
2026-08-21,helmondsport,rkcwaalwijk
2026-08-21,fcitallinn,transnarva
2026-08-21,hobro,aab
2026-08-21,invernessct,partick
2026-08-21,kerryfc,ucd
2026-08-21,fafe,guimaraesb
2026-08-21,fcdordrecht,rodajc
2026-08-21,clermont,dijon
2026-08-21,thestrongest,universitariodevinto
2026-08-21,liverpoolmontevideo,cerro
2026-08-21,alquadisiyaksa,alittihad
2026-08-21,betis,realsociedad
2026-08-21,acspetrolul52,rapidbucharest
2026-08-21,rudes,lokomotiva
2026-08-21,flinttownunited,britonferryllansawel
2026-08-21,sirius,hacken
2026-08-21,estudiantesriocuarto,sanlorenzo
2026-08-21,asdalcione,renate
2026-08-21,aegir,afturelding
2026-08-21,cordoba,girona
2026-08-21,alianzaatletico,sportingcristal
2026-08-21,santelmo,deportivomoron
2026-08-21,chrobryglogow,wartapoznan
2026-08-21,sarajevo,fkbskbanjaluka
2026-08-21,cracoviakrakow,wieczystakrakow
2026-08-21,lechiagdansk,pogonsiedlce
2026-08-21,emmen,jongazalkmaar
2026-08-21,albukayriyah,alanwarclub
2026-08-21,penybontfc,llandudnofc
2026-08-21,tigres,atlante
2026-08-21,alfaisalyksa,neomsportsclub
2026-08-21,wexfordfc,athlonetown
2026-08-21,svried,grazerak
2026-08-21,mfkkarvina,zizkov
2026-08-21,tondela,academica
2026-08-21,leon,monterrey
2026-08-21,erzurumbb,galatasaray
2026-08-21,sfcopava,trinec
2026-08-21,alriyadhsc,alnassr
2026-08-21,fccajamarca,atleticograu
2026-08-21,bohemians,derrycity
2026-08-21,alhazmksa,aldraih
2026-08-21,kashiwa,nagasaki
2026-08-21,chernomore,dunavruse
2026-08-21,deportivocuenca,mushucruna
2026-08-21,potenza,ssdcasaranocalcio
2026-08-21,lrvicenzavirtus,catanzaro
2026-08-21,standard,raallalouviere
2026-08-21,benficab,portimonense
2026-08-21,denbosch,fceindhoven
2026-08-21,treatyunited,corkcity
2026-08-21,acassuso,godoycruz
2026-08-21,fcvado,atalantau23
2026-08-21,chindiatargoviste,csfcdinamobucuresti
2026-08-21,prostejov,skkladno
2026-08-21,fredericia,aarhusfremad
2026-08-21,orientepetrolero,sanantoniobulobulo
2026-08-21,audaxitaliano,unionlacalera
2026-08-21,arsenal,coventry
2026-08-21,cdleonesdelnorte,independienteecu
2026-08-21,sjk,lahti
2026-08-21,nkaluminij,nkbrinjegrosuplje
2026-08-21,fatihkaragumrukistanbul,bursaspor
2026-08-21,ssdbari,cavese1919
2026-08-21,jaguaresdecordoba,boyacachico
2026-08-21,dunkerque,montpellier
2026-08-21,fcgiugliano,scafatese
2026-08-21,aboqairsemads,nationalbank
2026-08-21,rapperswiljona,winterthur
2026-08-21,caracas,carabobofc
2026-08-21,alwahdaksa,aladalh
2026-08-21,mvvmaastricht,fcvolendam
2026-08-21,drogheda,stpatricks
2026-08-21,unionbrescia,carpi
2026-08-21,haverfordwestcounty,cambrianunited
2026-08-21,vysocinajihlava,mastaborsko
2026-08-21,academiaanzoateguifc,trujillanos
2026-08-21,cardiffmetropolitan,thenewsaints
2026-08-22,walsall,grimsby
2026-08-22,nice,lorient
2026-08-22,athleticbilbao,sevilla
2026-08-22,cruzeiromg,flamengo
2026-08-22,cheonancity,suwonbluewings
2026-08-22,ofkbeograd,zemun
2026-08-22,nantongzhiyunfc,shaanxiunionfc
2026-08-22,metropolitanos,deportivotachira
2026-08-22,sandnesulf,bryne
2026-08-22,sandiegofc,colorado
2026-08-22,rayozuliano,deportivolaguaira
2026-08-22,maritimo,academicodeviseu
2026-08-22,bodrumbelediyesibodrumspor,muglaspor
2026-08-22,guangxihengchen,suzhoudongwu
2026-08-22,ilves,vps
2026-08-22,cittadella,pergolettese
2026-08-22,harjujklaagri,nommekalju
2026-08-22,barcelonaecu,orensesportingclub
2026-08-22,audacecerignola,cosenza
2026-08-22,sporthuancayo,cesarvallejomoquegua
2026-08-22,queenspark,stenhousemuir
2026-08-22,fortunasittard,azalkmaar
2026-08-22,shenzhenpengcity,zhejianggreentown
2026-08-22,stetienne,grenoble
2026-08-22,austinfc,philadelphia
2026-08-22,piratasfc,cancunfc
2026-08-22,asatargumures,csgloria2018bistritanasaud
2026-08-22,aekathens,iraklis
2026-08-22,valencia,celtavigo
2026-08-22,nagoya,gosaka
2026-08-22,clyde,forfar
2026-08-22,portvale,tranmere
2026-08-22,kalamata,aris
2026-08-22,hull,manutd
2026-08-22,pfclevskisofia,spartakvarna
2026-08-22,tosu,tochigiuvafc
2026-08-22,sapporo,omiya
2026-08-22,dundeeutd,dundee
2026-08-22,newyorkredbulls,chicagofire
2026-08-22,nacbreda,jongajaxamsterdam
2026-08-22,gianaerminio,albinoleffe
2026-08-22,orgryte,halmstads
2026-08-22,botafogopb,guarani
2026-08-22,stevenage,oxfordutd
2026-08-22,harrogatetown,barrow
2026-08-22,antwerp,genk
2026-08-22,piastgliwice,legiawarsaw
2026-08-22,charleroi,yellowredmechelen
2026-08-22,eldense,cadiz
2026-08-22,cslstefanestiidejos,acsmcetatea1932suceava
2026-08-22,antalyaspor,pendikspor
2026-08-22,airdrieonians,rossco
2026-08-22,koronakielce,lkpmotorlublin
2026-08-22,heerenveen,peczwolle
2026-08-22,almasry,smouha
2026-08-22,empoli,uscremonese
2026-08-22,guadalajara,tijuana
2026-08-22,iwata,tokushima
2026-08-22,patronato,gimnasiajujuy
2026-08-22,okayama,tokyov
2026-08-22,bostonutd,altrincham
2026-08-22,yokohamafm,kobe
2026-08-22,beijingguoan,yunnanyukun
2026-08-22,acospitaletto,lumezzane
2026-08-22,dinamobucharest,universitateacluj
2026-08-22,ansangreenersfc,seongnamfc
2026-08-22,sturmgraz,scaustrialustenau
2026-08-22,univcatolicaecu,mantafc
2026-08-22,fczurich,fcbasel
2026-08-22,nuevachicago,caatlanta
2026-08-22,ipswich,sunderland
2026-08-22,millwall,norwich
2026-08-22,olympiakos,atromitos
2026-08-22,luton,nottsco
2026-08-22,brentford,tottenham
2026-08-22,sportinglisbon,alverca
2026-08-22,skartisbrno,spartaprague
2026-08-22,maccabipetachtikva,hapoelkiryatshmona
2026-08-22,deportivogarcilaso,cuscofc
2026-08-22,slaviaprague,bohemians1905
2026-08-22,chengdurongcheng,shanghaishenhua
2026-08-22,utccajamarca,comerciantesunidos
2026-08-22,longford,braywanderers
2026-08-22,juanpabloiicollege,asociaciondeportivatarma
2026-08-22,bucheonfc1995,pohangsteelers
2026-08-22,solihullmoors,southend
2026-08-22,bromley,cambridgeutd
2026-08-22,fcanyang,fcseoul
2026-08-22,fylkir,grindavik
2026-08-22,csmslatina,metalulbuzau
2026-08-22,preston,wolves
2026-08-22,edinburghcity,annan
2026-08-22,defensoresdebelgrano,almirantebrown
2026-08-22,cerrolargofc,defensorsporting
2026-08-22,newells,banfield
2026-08-22,albacete,sociedadb
2026-08-22,yeovil,gateshead
2026-08-22,peterborough,mansfield
2026-08-22,nkcelje,nkradomlje
2026-08-22,swansea,sheffutd
2026-08-22,atltucuman,instituto
2026-08-22,albirexniigata,fujiedamyfc
2026-08-22,macvasabac,radnickinis
2026-08-22,umraniyespor,eroksporas
2026-08-22,nantes,rodez
2026-08-22,ab,hvidovre
2026-08-22,qingdaoyouthisland,shandongtaishan
2026-08-22,mkdons,huddersfield
2026-08-22,corumbelediyespor,kasimpasa
2026-08-22,fcguidoniamontecelio1937,gubbio
2026-08-22,lusitaniafutebolclube,torreense
2026-08-22,benevento,modena
2026-08-22,76igdirbelediyespor,kayserispor
2026-08-22,afcwimbledon,reading
2026-08-22,mura,koper
2026-08-22,inter,acmonza
2026-08-22,calcioavellinossd,arezzo
2026-08-22,losangelesfc,portlandtimbers
2026-08-22,estorilpraia,rioave
2026-08-22,univcatolicachile,nublense
2026-08-22,oita,iwakisc
2026-08-22,leixoes,leiria
2026-08-22,huachipato,deporteslimache
2026-08-22,slaskwroclaw,widzewlodz
2026-08-22,wuhanthreetowns,tianjinjinmentigerfc
2026-08-22,kidderminster,aldershot
2026-08-22,derby,cardiff
2026-08-22,magallanes,clubdeportessantacruz
2026-08-22,swindon,cheltenham
2026-08-22,southampton,stoke
2026-08-22,eastleigh,scunthorpe
2026-08-22,alahli,abha
2026-08-22,rizespor,samsunspor
2026-08-22,kashima,fukuoka
2026-08-22,gimnasialaplata,gimnasiamendoza
2026-08-22,carrarese,mantova
2026-08-22,internacional,atleticomg
2026-08-22,academiadebalompiebo,cdgualbertovillarroel
2026-08-22,intermiamicf,torontofc
2026-08-22,cuiaba,goias
2026-08-22,cahuracan,deportivoriestra
2026-08-22,wigan,leytonorient
2026-08-22,rochdale,crawleytown
2026-08-22,lecco,arzignanochiampo
2026-08-22,vizela,amarante
2026-08-22,meizhouhakka,guangdonggzpowerfc
2026-08-22,clubsportivoameliano,deportivorecoleta
2026-08-22,keltyhearts,dumbarton
2026-08-22,salfordcity,chesterfield
2026-08-22,nashvillesc,columbus
2026-08-22,leicester,burtonalbion
2026-08-22,jiangxidingnanunited,shijiazhuanggongfufc
2026-08-22,livingston,dunfermline
2026-08-22,fcwil,kriens
2026-08-22,chacoforever,losandes
2026-08-22,suwonfc,gimhaecity
2026-08-22,ironitiberias,hapoelpetachtikva
2026-08-22,dinamozagreb,varazdin
2026-08-22,caindependiente,independienterivadavia
2026-08-22,juventusb,novara
2026-08-22,hkkopavogur,throttur
2026-08-22,fenerbahce,konyaspor
2026-08-22,zultewaregem,waaslandbeveren
2026-08-22,tecnicouniversitario,guayaquilcity
2026-08-22,voltaredonda,florestaec
2026-08-22,montrose,eastkilbride
2026-08-22,fkvelezmostar,slogadoboj
2026-08-22,alfatehksa,alettifaq
2026-08-22,casanmiguel,colon
2026-08-22,sanjoseearthquakes,minnesotautd
2026-08-22,alacranesdedurango,universidadguadalajara
2026-08-22,concordiachiajna,politehnicatimisoara
2026-08-22,wrexham,watford
2026-08-22,confianca,anapolisgo
2026-08-22,santacruzpe,sercaxiasdosul
2026-08-22,daegufc,busanipark
2026-08-22,tolima,atleticobucaramanga
2026-08-22,fcjuarez,cfamerica
2026-08-22,elgeish,almokawloon
2026-08-22,toulouse,lyon
2026-08-22,deportesrecoleta,deportescopiapo
2026-08-22,tegevajaromiyazaki,shonan
2026-08-22,maccabihaifa,hapoelramatgan
2026-08-22,fluminense,remo
2026-08-22,cobreloacalama,unionespanola
2026-08-22,shrewsbury,barnet
2026-08-22,sudtirol,entella
2026-08-22,estudiantesdemerida,puertocabello
2026-08-22,hiroshima,kawasaki
2026-08-22,sirokibrijeg,radnikbijeljina
2026-08-22,queenofsouth,alloa
2026-08-22,toyama,fcimabari
2026-08-22,charlottefc,dcutd
2026-08-22,crewe,northampton
2026-08-22,clubatleticolapaz,cruzazulhidalgo
2026-08-22,spartans,elgincityfc
2026-08-22,csmsatumare,bihororadea
2026-08-22,puebla,santoslaguna
2026-08-22,morton,arbroath
2026-08-22,woking,afcfylde
2026-08-22,stlouiscitysc,houstondynamo
2026-08-22,dunajskastreda,podbrezova
2026-08-22,jeonbukmotors,ulsanhyundaihorangi
2026-08-22,eastfife,hamilton
2026-08-22,spartarotterdam,fcutrecht
2026-08-22,sanmartindesanjuan,clubgimnasiaytiro
2026-08-22,fleetwoodtown,gillingham
2026-08-22,zamorafc,universidaddevenezuela
2026-08-22,puertomontt,deportesiquique
2026-08-22,yamagata,yokohamafc
2026-08-22,daliankuncityfc,wuxiwugou
2026-08-22,kyoto,mito
2026-08-22,alkholoodclub,altaawounburaidah
2026-08-22,alkhaleejsaihat,alshababksa
2026-08-22,covilha,atleticoclubedeportugal
2026-08-22,metz,laval
2026-08-22,blackburn,middlesbrough
2026-08-22,aurora,realpotosi
2026-08-22,bristolrovers,newportcounty
2026-08-22,cfosbelenenses,santarem
2026-08-22,centralespanol,juventuddelaspiedras
2026-08-22,udinese,como
2026-08-22,utaarad,fchunedoara
2026-08-22,queretaro,toluca
2026-08-22,fchalifaxtown,tamworthfc
2026-08-22,ludogorets,slaviasofia
2026-08-22,qpr,bolton
2026-08-22,stockport,blackpool
2026-08-22,cfmontreal,lagalaxy
2026-08-22,westham,charlton
2026-08-22,raith,ayr
2026-08-22,csmramnicuvalcea,acsfotbalclubbacau
2026-08-22,genoa,napoli
2026-08-22,gloriapopestileordeni,csmscolarresita
2026-08-22,orlandocity,realsaltlake
2026-08-22,blaublitzakita,kofu
2026-08-22,jejuutd,gimcheonsangmu
2026-08-22,oviedo,leganes
2026-08-22,aguilasdoradas,millonarios
2026-08-22,colchester,oldham
2026-08-22,vancouverwhitecaps,fcdallas
2026-08-22,nieciecza,poloniawarszawa
2026-08-22,scraltach,hartberg
2026-08-22,coverangers,peterhead
2026-08-22,poloniabytom,pogongrodziskmazowiecki
2026-08-22,zlin,slovanliberec
2026-08-22,fccincinnati,seattlesounders
2026-08-22,doncaster,barnsley
2026-08-22,lens,auxerre
2026-08-22,worthing,wealdstone
2026-08-22,cearascfortaleza,londrina
2026-08-22,ifvestri,leiknirr
2026-08-22,jaro,acoulu
2026-08-22,vanraurehachinohe,sendai
2026-08-22,ghazlelmahallah,pyramids
2026-08-22,almagroba,cacolegiales
2026-08-22,luzern,lausanne
2026-08-22,nottmforest,leeds
2026-08-22,espanyol,realmadrid
2026-08-22,fckosice,slovanbratislava
2026-08-22,ruzomberok,duklabanskabystrica
2026-08-22,fkradnicki1923,fkimtnovibeograd
