Date,Liga,Home,Away,Odd_Lay,Prob,Metodo,Placar_Final,Status,PnL,Origem
2026-07-24,FINLAND 1,Jaro,SJK,13.5,93.0,XGBoost (Trader) + Random Forest (RF),2-1,GREEN,0.935,User_Filled
2026-07-24,POLAND 1,Radomiak Radom,Wieczysta Krakow,14.0,91.1,XGBoost (Trader),,PENDENTE,,Pending_Unresolved
2026-07-24,BULGARIA 1,Arda,Slavia Sofia,17.5,95.0,XGBoost (Trader) + Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-25,CHINA 1,Changchun Yatai,Nanjing City,16.5,93.7,XGBoost (Trader) + Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-25,CHINA 1,Wuhan Three Towns,Chongqing Tonglianglong,13.5,94.4,XGBoost (Trader) + Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-25,DENMARK 2,Esbjerg,Kolding IF,18.0,94.0,XGBoost (Trader) + Random Forest (RF),1-1,GREEN,0.935,User_Filled
2026-07-25,FINLAND 1,KuPS,VPS,14.5,94.5,XGBoost (Trader) + Random Forest (RF),3-1,GREEN,0.935,User_Filled
2026-07-25,POLAND 1,Gornik Zabrze,Slask Wroclaw,17.5,94.2,XGBoost (Trader) + Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-25,BRAZIL 3,Ferroviaria,Maranhao,17.0,94.6,XGBoost (Trader) + Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-25,USA 1,New England Revolution,Atlanta Utd,17.0,94.1,XGBoost (Trader) + Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-25,USA 1,New York City,Chicago Fire,15.0,91.6,XGBoost (Trader),,PENDENTE,,Pending_Unresolved
2026-07-25,USA 1,Orlando City,Nashville SC,15.0,93.4,XGBoost (Trader) + Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-26,FINLAND 1,Ilves,Lahti,13.5,94.1,XGBoost (Trader) + Random Forest (RF),1-0,GREEN,0.935,User_Filled
2026-07-26,NORWAY 2,Asane,Egersund,17.5,91.9,XGBoost (Trader),,PENDENTE,,Pending_Unresolved
2026-07-26,NORWAY 1,KFUM Oslo,Molde,13.5,92.0,XGBoost (Trader) + Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-26,BULGARIA 1,Cherno More,Spartak Varna,16.0,94.5,XGBoost (Trader) + Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-26,ECUADOR 1,Aucas,Macara,13.5,93.6,XGBoost (Trader) + Random Forest (RF),1-4,GREEN,0.935,User_Filled
2026-07-26,PERU 1,Deportivo Garcilaso,FC Cajamarca,18.0,94.4,XGBoost (Trader) + Random Forest (RF),2-1,GREEN,0.935,User_Filled
2026-07-27,SWEDEN 2,Orebro,Oddevold,14.0,91.8,XGBoost (Trader),,PENDENTE,,Pending_Unresolved
2026-07-29,BRAZIL 1,Mirassol,Remo,17.5,94.3,XGBoost (Trader) + Random Forest (RF),2-1,GREEN,0.935,User_Corrected
2026-07-01,USA 1,Spokane Velocity FC,Forward Madison FC,16.0,94.1,Random Forest (RF),0-1,RED,-15.0,User_Filled
2026-07-04,BRAZIL 3,Ferroviaria,SER Caxias do Sul,13.5,92.0,Random Forest (RF),0-1,RED,-12.5,Footstats_Complete_0.83
2026-07-04,USA 1,San Antonio FC,Monterey Bay FC,15.5,93.5,Random Forest (RF),0-0,GREEN,0.935,Footstats_Complete_1.00
2026-07-04,BRAZIL 3,Maringa,Volta Redonda,18.0,93.8,Random Forest (RF),4-0,GREEN,0.935,Footstats_Complete_1.00
2026-07-04,CHINA 1,Yanbian Longding,Jiangxi Dingnan United,14.5,93.5,Random Forest (RF),3-0,GREEN,0.935,User_Filled
2026-07-04,CHINA 1,Liaoning Tieren FC,Chongqing Tonglianglong,16.0,93.0,Random Forest (RF),3-1,GREEN,0.935,User_Filled
2026-07-05,SWEDEN 1,IFK Goteborg,AIK,17.0,92.3,Random Forest (RF),1-2,GREEN,0.935,Footstats_Complete_1.00
2026-07-05,CHINA 1,Nanjing City,Foshan Nanshi FC,17.0,94.3,Random Forest (RF),3-1,GREEN,0.935,User_Filled
2026-07-06,BRAZIL 3,Amazonas FC,Itabaiana,13.5,93.3,Random Forest (RF),0-2,GREEN,0.935,Footstats_Complete_1.00
2026-07-08,USA 1,Hartford Athletic FC,Orange County Blues,17.0,93.6,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-08,USA 1,Greenville Triumph SC,Sarasota Paradise,16.5,93.6,Random Forest (RF),0-0,GREEN,0.935,User_Filled
2026-07-10,IRELAND 2,Wexford F.C,Kerry FC,16.0,93.3,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-11,URUGUAY 1,Wanderers (Uru),Progreso,13.5,93.2,Random Forest (RF),2-0,GREEN,0.935,User_Filled
2026-07-11,BRAZIL 4,XV De Piracicaba,Cianorte PR,17.0,94.4,Random Forest (RF),0-0,GREEN,0.935,User_Filled
2026-07-11,BRAZIL 3,SER Caxias do Sul,Floresta EC,15.0,94.2,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-12,BRAZIL 4,Manaura Esporte Clube,Goiatuba EC,14.0,93.6,Random Forest (RF),1-2,GREEN,0.935,User_Filled
2026-07-12,BRAZIL 4,AD Iguatu,Maguary,13.5,92.8,Random Forest (RF),2-1,GREEN,0.935,User_Filled
2026-07-12,BRAZIL 4,Capital Clube de Futebol,Nacional AM,14.5,94.4,Random Forest (RF),1-0,GREEN,0.935,User_Filled
2026-07-12,BRAZIL 4,Treze,CRAC,14.5,94.2,Random Forest (RF),1-0,GREEN,0.935,User_Filled
2026-07-12,NORWAY 1,Sandefjord,Ham-Kam,18.0,93.5,Random Forest (RF),2-2,GREEN,0.935,Original_Database
2026-07-12,URUGUAY 1,Liverpool Montevideo,Cerro,17.0,94.5,Random Forest (RF),1-2,GREEN,0.935,User_Filled
2026-07-17,BRAZIL 1,Fluminense,Red Bull Bragantino,18.0,94.7,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-18,ROMANIA 1,Universitatea Craiova,UTA Arad,16.0,94.0,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-18,PERU 1,Atletico Grau,UTC Cajamarca,16.5,94.6,Random Forest (RF),3-1,GREEN,0.935,User_Filled
2026-07-18,USA 1,Detroit City FC,Indy Eleven,16.5,93.5,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-18,CHINA 1,Guangxi Hengchen,Shaanxi Union FC,13.5,92.6,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-18,FINLAND 1,HJK Helsinki,VPS,17.0,92.6,Random Forest (RF),2-1,GREEN,0.935,User_Filled
2026-07-18,SWEDEN 2,Ostersunds FK,Landskrona,14.5,92.6,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-18,USA 1,Phoenix Rising FC,Monterey Bay FC,17.0,92.7,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-19,PERU 1,CD Los Chankas,Sport Boys (Per),14.0,93.1,Random Forest (RF),1-0,GREEN,0.935,User_Filled
2026-07-19,SERBIA 1,Radnik Surdulica,Mladost Lucani,14.0,93.8,Random Forest (RF),1-1,GREEN,0.935,User_Filled
2026-07-19,SWEDEN 2,United IK Nordic,Orebro,17.5,93.4,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-20,URUGUAY 1,Torque,Danubio,15.0,94.7,Random Forest (RF),1-0,GREEN,0.935,User_Filled
2026-07-20,ECUADOR 1,Mushuc Runa,Orense Sporting Club,14.5,93.8,Random Forest (RF),2-1,GREEN,0.935,User_Filled
2026-07-20,ROMANIA 1,FC Hunedoara,Csikszereda,13.5,93.8,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-20,SWEDEN 2,Norrby IF,Sundsvall,15.0,93.1,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-21,BRAZIL 1,Atletico MG,Bahia,15.0,93.7,Random Forest (RF),1-1,GREEN,0.935,Original_Database
2026-07-21,ECUADOR 1,Univ Catolica (Ecu),Barcelona (Ecu),15.5,93.8,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-22,USA 1,Charlotte FC,Atlanta Utd,15.5,92.2,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-22,USA 1,LA Galaxy,St Louis City SC,17.0,92.5,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-22,USA 1,Columbus,New York City,13.5,92.5,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-23,ECUADOR 1,CD Leones del Norte,Guayaquil City,14.0,94.9,Random Forest (RF),1-1,GREEN,0.935,User_Filled
2026-07-24,URUGUAY 1,Torque,Danubio,15.0,93.6,Random Forest (RF),1-0,GREEN,0.935,User_Filled
2026-07-24,ROMANIA 1,UTA Arad,Otelul Galati,13.5,92.1,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-24,CZECH 1,Prostejov,Trinec,17.0,93.9,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-24,CZECH 1,Vysocina Jihlava,Zizkov,16.5,92.3,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-25,COLOMBIA 1,Ind Medellin,Deportivo Pasto,17.0,94.4,Random Forest (RF),3-2,GREEN,0.935,User_Filled
2026-07-25,BRAZIL 3,Volta Redonda,Anapolis GO,16.0,94.8,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-25,BRAZIL 3,Santa Cruz PE,Figueirense,13.5,94.3,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-25,USA 1,St Louis City SC,Colorado,17.5,93.5,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-25,ECUADOR 1,Tecnico Universitario,Manta FC,16.0,94.6,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-25,COLOMBIA 1,Millonarios,Atletico Bucaramanga,16.5,94.6,Random Forest (RF),0-1,RED,-15.5,User_Filled
2026-07-25,POLAND 1,Jagiellonia Bialystock,Korona Kielce,16.5,94.1,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-25,CHINA 1,Shaanxi Union FC,Shenzhen Juniors FC,17.0,94.4,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-25,MEXICO 1,Tijuana,Leon,18.0,93.9,Random Forest (RF),1-0,GREEN,0.935,User_Filled
2026-07-25,USA 1,Spokane Velocity FC,Fort Wayne FC,17.0,93.6,Random Forest (RF),3-1,GREEN,0.935,User_Filled
2026-07-25,PERU 1,Sport Huancayo,Atletico Grau,18.0,94.2,Random Forest (RF),2-0,GREEN,0.935,User_Filled
2026-07-25,CZECH 1,Teplice,Bohemians 1905,13.5,92.7,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-25,COLOMBIA 1,Tolima,Junior FC Barranquilla,14.0,93.6,Random Forest (RF),2-1,GREEN,0.935,User_Filled
2026-07-26,BOLIVIA 1,Blooming Santa Cruz,The Strongest,18.0,92.1,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-26,BRAZIL 1,Cruzeiro MG,Botafogo FR,18.0,94.3,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-26,BULGARIA 1,Lokomotiv Plovdiv,Septemvri,18.0,94.4,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-26,POLAND 1,Wisla Krakow,GKS Katowice,16.5,93.6,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-26,PARAGUAY 1,Olimpia,Libertad,15.0,93.6,Random Forest (RF),0-1,RED,-14.0,User_Filled
2026-07-26,BRAZIL 1,SE Palmeiras,Atletico MG,18.0,94.5,Random Forest (RF),1-2,GREEN,0.935,User_Filled
2026-07-26,BRAZIL 3,SER Caxias do Sul,Botafogo PB,13.5,93.8,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-26,CZECH 1,Banik Ostrava B,FC Sellier & Bellot Vlasim,15.5,92.1,Random Forest (RF),1-0,GREEN,0.935,User_Filled
2026-07-26,CHINA 1,Dalian Kun City FC,Suzhou Dongwu,16.0,93.4,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-26,CZECH 1,Slavia Praha B,FK Pribram,16.0,92.4,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-26,POLAND 1,Widzew Lodz,LKP Motor Lublin,17.0,94.6,Random Forest (RF),,PENDENTE,,Pending_Unresolved
2026-07-29,USA 1,Pittsburgh Riverhounds,Tulsa Roughnecks FC,15.0,93.9,Random Forest (RF),0-1,RED,-14.0,User_Corrected
